appointment_id,service_id,price,duration
1761,1,24.3,59
1556,3,16.88,47
1793,2,65.79,18
1820,6,64.42,63
1749,1,17.76,57
1871,3,32.49,74
638,4,92.91,23
278,1,90.08,23
983,7,84.83,68
1297,1,4.15,72
324,6,4.48,69
1109,2,54.91,64
161,1,53.65,41
1495,1,35.46,32
187,4,39.18,31
1685,3,47.39,49
505,3,46.82,78
1272,1,82.64,43
217,1,32.84,61
63,3,64.32,79
867,5,42.2,55
1988,4,43.3,54
1343,4,48.89,79
1955,7,86.35,30
1735,1,28.2,55
821,7,44.4,23
949,2,85.6,59
407,3,34.16,15
765,2,12.81,34
607,4,66.28,65
1700,2,79.75,27
1432,4,16.17,17
938,3,20.64,53
736,4,79.55,89
1103,1,26.79,72
1227,6,76.81,35
1475,2,15.99,87
1591,3,34.78,36
80,7,84.06,88
977,4,78.97,22
521,3,73.5,22
182,7,74.6,27
989,3,74.68,74
1732,5,54.95,52
56,7,2.9,38
1567,7,13.37,68
820,7,1.3,77
1680,2,28.66,37
1886,4,26.94,81
148,4,50.69,31
1366,7,34.61,80
361,1,96.01,26
256,2,73.34,80
369,5,35.95,45
244,4,77.39,30
1799,7,40.24,45
259,3,1.17,90
384,7,31.18,46
1704,1,90.46,32
1260,6,4.48,83
563,7,92.41,33
1254,3,93.84,71
503,2,59.11,51
1789,4,26.28,36
583,1,0.4,75
935,1,51.27,54
547,2,91.23,70
1491,4,13.23,25
1516,3,32.11,84
1661,2,53.74,16
1307,3,22.34,78
671,2,32.97,39
1421,6,8.32,88
1715,6,18.72,36
1773,6,78.05,83
1363,6,14.66,33
1371,6,8.76,32
1729,2,0.36,24
413,1,94.13,52
1655,4,46.22,37
1957,6,67.34,40
311,5,65.96,59
1499,3,49.65,20
1478,4,16.79,77
141,6,12.94,54
1139,4,4.68,45
1206,5,3.66,51
1020,1,79.23,45
302,4,56.8,79
1359,5,10.77,41
900,4,92.53,36
1259,1,83.57,88
1141,1,71.9,23
1742,6,39.23,59
932,5,12.05,35
1695,3,38.33,68
696,6,20.41,66
25,5,99.45,43
1950,2,41.42,71
541,6,21.39,80
1720,1,88.97,53
92,6,66.24,48
1906,6,94.72,73
1531,2,79.64,25
1442,6,55.1,69
167,2,46.58,78
330,1,11.35,34
815,3,50.86,57
269,5,12.63,71
1321,3,99.44,73
360,7,85.19,47
641,5,13.31,16
1785,1,47.52,17
1228,7,61.66,58
1804,5,44.1,37
273,4,52.42,69
796,5,13.77,28
480,5,37.25,28
1439,1,55.88,29
1180,5,3.42,76
806,6,7.04,67
1325,3,43.54,39
1398,1,3.72,78
1412,5,68.68,68
1964,4,25.97,32
1221,3,3.78,22
1266,6,88.81,24
892,5,47.94,20
963,6,2.53,83
1098,4,63.24,83
1572,7,30.84,34
1016,7,3.12,52
1689,2,26.17,89
1190,1,8.38,43
477,6,6.61,20
306,7,47.21,79
1011,2,73.59,38
1528,3,50.72,32
524,1,38.85,67
782,1,72.65,62
14,7,35.17,57
1948,6,11.64,21
1334,1,19.32,81
215,1,10.51,18
929,2,94.76,20
125,3,63.49,59
1734,6,33.38,27
1306,6,18.97,87
337,2,33.47,41
321,3,4.72,87
1838,5,47.74,31
439,6,97.21,57
542,7,38.78,28
519,2,88.99,89
323,7,61.03,52
1851,5,62.45,50
1924,2,63.77,67
964,7,92.38,26
328,3,21.38,64
1032,7,3.97,52
316,1,49.61,83
1691,4,65.78,36
1686,7,54.67,31
1835,4,89.42,67
659,4,34.68,61
1448,5,53.49,58
1768,3,22.22,54
890,6,12.08,64
1079,3,58.59,23
1921,4,95.14,62
788,1,15.79,40
928,1,80.22,61
1436,2,88.6,35
1782,5,81.67,82
518,3,33.36,87
1303,6,71.4,24
683,1,52.06,88
1755,7,14.52,65
1145,3,16.53,72
1569,3,8.75,74
585,3,5.7,15
153,7,33.42,27
1997,4,28.17,90
1711,4,14.78,60
20,5,42.29,47
1937,2,0.56,18
1323,6,56.91,27
501,2,62.81,68
646,1,42.95,41
1895,3,7.3,28
1940,1,41.81,80
998,7,76.93,89
1329,3,37.95,27
1610,6,1.43,77
452,2,19.06,82
1943,5,21.07,87
774,2,57.56,80
922,7,34.67,24
213,7,72.76,69
398,5,30.6,46
1469,2,15.42,76
930,6,3.45,69
695,3,90.41,22
1400,6,16.32,44
275,6,30.31,75
1589,5,30.6,21
75,6,49.01,30
453,5,63.08,74
218,4,34.34,63
367,7,46.41,23
1523,3,20.48,73
139,6,22.81,54
510,1,33.17,67
951,1,72.21,82
1028,1,49.95,46
566,1,19.66,31
1670,1,72.11,24
711,3,21.95,61
590,5,50.08,49
803,3,10.57,51
1979,2,91.29,16
21,3,15.4,61
715,1,30.69,79
68,1,39.31,41
1243,6,0.29,28
1634,6,96.23,52
1563,6,23.05,83
1119,4,29.87,28
430,6,50.65,88
1017,7,22.04,22
1209,1,13.07,58
1560,5,7.05,62
1247,5,83.37,53
22,3,4.89,70
1235,1,48.28,20
599,4,36.61,25
379,4,98.56,78
1620,6,98.84,59
870,5,84.46,68
1054,4,66.68,60
175,1,24.5,73
957,7,85.78,34
548,1,27.33,23
200,5,23.68,34
751,1,38.3,43
487,5,8.28,77
31,4,30.46,65
1747,1,91.7,27
952,2,38.13,89
1052,6,21.98,81
1618,5,18.53,29
1666,3,19.66,27
1310,5,32.29,16
1189,1,63.64,75
1993,7,71.45,39
1552,2,0.83,46
894,4,97.75,73
1420,6,35.15,36
738,7,62.45,38
111,7,76.46,35
1086,4,77.04,68
835,2,88.72,18
1174,7,42.03,80
1030,2,79.71,66
179,1,24.92,77
906,4,28.15,81
1246,1,41.98,88
1040,4,55.68,45
1013,1,67.47,46
1253,3,20.22,87
165,7,57.03,33
432,4,55.88,54
678,7,28.53,50
544,3,96.3,88
897,3,84.63,34
621,2,93.97,61
138,3,51.48,40
298,5,63.86,31
358,4,2.7,49
1389,2,78.36,63
1580,7,47.93,72
497,1,27.88,38
11,5,14.03,30
652,7,53.22,88
1072,3,45.71,16
775,6,56.38,79
1757,1,7.02,30
923,7,71.58,35
595,1,37.79,43
1555,6,21.6,83
1403,6,40.21,55
980,3,8.28,55
1649,2,78.03,23
1667,5,10.98,68
739,4,99.54,15
1419,3,65.68,90
338,5,23.98,83
1931,2,58.64,37
1424,5,20.7,15
1234,5,90.9,63
776,3,35.67,61
421,5,3.68,49
1351,5,5.68,90
1509,3,93.93,48
1275,2,62.0,42
1085,2,70.28,76
1839,2,73.42,30
761,1,80.2,24
309,7,1.85,68
880,2,24.38,63
228,1,91.07,40
690,3,92.13,54
1187,2,41.81,31
759,2,92.96,77
1314,3,33.63,40
60,1,36.09,89
312,2,81.13,74
1726,4,43.98,44
593,7,22.24,24
66,6,21.16,46
658,5,41.15,68
1288,2,44.76,17
1443,1,19.36,66
1007,4,8.77,75
186,6,69.41,79
1223,4,24.75,58
296,1,86.66,57
1244,3,54.83,88
192,2,86.95,90
1216,7,67.82,20
940,2,81.17,49
878,4,21.06,64
520,1,48.37,22
1536,3,62.63,27
1637,7,60.73,23
402,1,67.55,29
409,5,62.13,21
103,1,2.28,61
483,6,64.39,55
115,7,28.9,82
1942,2,91.67,45
238,5,66.25,51
1878,5,63.86,51
1124,6,5.77,53
481,7,92.77,20
1604,4,58.06,74
1035,3,32.18,45
681,3,69.18,70
1290,5,61.27,32
1917,4,56.53,69
804,7,55.93,21
488,1,48.4,32
969,6,38.48,50
1461,4,17.04,25
1024,4,92.75,27
1164,4,70.74,73
1245,2,98.1,41
1176,4,41.5,52
1629,3,65.92,58
327,4,90.93,27
862,5,24.08,79
597,1,66.84,62
1484,2,74.77,55
999,5,62.33,37
181,7,2.88,32
885,4,14.69,29
997,2,32.47,82
1852,1,25.02,31
