appointment_id,location_id,employee_id,client_id,child_id,notes,has_specific_employee,start_time,end_time
4895,1,15,1565,1565,"Frankly, my dear, I don’t give a damn.",true,2020-07-01 17:40:06 UTC,
894,2,23,1706,1706,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-09 21:06:01 UTC,
975,3,32,542,542,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-05 17:16:38 UTC,
758,1,12,1256,1256,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-07-04 19:58:00 UTC,
137,2,27,1366,1366,"All right, Mr. DeMille, I'm ready for my closeup.",true,2020-07-07 18:25:01 UTC,
4862,3,33,134,134,May the Force be with you.,false,2020-07-02 19:25:10 UTC,
4628,1,16,1541,1541,"Here's looking at you, kid.",false,2020-07-09 19:01:18 UTC,
4327,2,29,1793,1793,You talking to me?,true,2020-07-03 21:04:01 UTC,
2730,3,35,1977,1977,I love the smell of napalm in the morning.,true,2020-06-28 17:21:13 UTC,
2236,1,13,1712,1712,I'm going to make him an offer he can't refuse.,false,2020-07-01 19:45:11 UTC,
4085,2,29,1973,1973,Fasten your seatbelts. It's going to be a bumpy night.,false,2020-07-11 19:41:40 UTC,
3289,3,39,153,153,"Toto, I've got a feeling we're not in Kansas anymore.",false,2020-06-23 19:52:00 UTC,
931,1,17,1686,1686,Fasten your seatbelts. It's going to be a bumpy night.,true,2020-06-27 21:50:54 UTC,
4273,2,29,1470,1470,"Here's looking at you, kid.",false,2020-06-27 17:39:11 UTC,
1082,3,36,1351,1351,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-18 21:10:06 UTC,
2092,1,16,420,420,"All right, Mr. DeMille, I'm ready for my closeup.",false,2020-07-05 20:14:33 UTC,
1021,2,22,560,560,"Go ahead, make my day.",false,2020-06-30 19:33:48 UTC,
2106,3,38,37,37,I love the smell of napalm in the morning.,false,2020-06-25 19:15:05 UTC,
4854,1,19,568,568,"Toto, I've got a feeling we're not in Kansas anymore.",true,2020-07-16 17:10:34 UTC,
3101,2,24,984,984,I'm going to make him an offer he can't refuse.,false,2020-07-18 18:18:47 UTC,
