appointment_id,status,change_time,employee_id
4691,booked,2020-05-28 18:08:46 UTC,8
2824,booked,2020-05-27 19:58:32 UTC,16
2956,booked,2020-05-22 23:17:22 UTC,28
1585,booked,2020-05-16 19:34:11 UTC,37
3946,booked,2020-06-01 19:19:16 UTC,47
3356,booked,2020-05-21 20:57:20 UTC,54
2400,booked,2020-05-29 23:24:45 UTC,61
4587,booked,2020-06-01 20:05:15 UTC,73
1431,booked,2020-05-24 21:12:48 UTC,86
4807,booked,2020-05-18 20:17:31 UTC,91
1534,booked,2020-05-19 22:50:48 UTC,4
2417,booked,2020-05-30 22:09:23 UTC,19
3745,booked,2020-05-14 20:41:59 UTC,21
775,booked,2020-05-29 22:04:26 UTC,39
3940,booked,2020-05-19 23:06:37 UTC,45
4878,booked,2020-05-27 20:21:22 UTC,50
4242,booked,2020-05-12 23:45:08 UTC,62
3855,booked,2020-06-08 18:06:58 UTC,77
2038,booked,2020-05-16 22:59:00 UTC,87
1610,booked,2020-05-18 23:29:35 UTC,98
3420,booked,2020-06-04 21:30:56 UTC,9
1689,booked,2020-05-27 20:56:01 UTC,18
2831,booked,2020-05-17 22:22:37 UTC,22
4361,booked,2020-05-28 22:22:53 UTC,30
1072,booked,2020-05-15 21:38:31 UTC,40
4174,booked,2020-05-15 18:29:59 UTC,58
1003,booked,2020-06-03 21:07:35 UTC,67
390,booked,2020-06-07 19:37:09 UTC,70
1595,booked,2020-06-11 21:21:01 UTC,82
258,booked,2020-05-30 20:56:42 UTC,95
2337,booked,2020-05-15 20:47:29 UTC,9
1776,booked,2020-05-17 19:24:08 UTC,12
3942,booked,2020-05-13 23:54:09 UTC,27
1299,booked,2020-05-13 18:57:08 UTC,38
401,booked,2020-06-01 18:59:46 UTC,47
2369,booked,2020-06-09 22:17:06 UTC,55
3770,booked,2020-05-26 20:36:47 UTC,65
2802,booked,2020-05-17 21:44:55 UTC,75
2714,booked,2020-05-14 23:25:38 UTC,87
1264,booked,2020-06-05 22:32:54 UTC,94
4098,booked,2020-05-20 19:11:10 UTC,0
4239,booked,2020-06-04 18:50:41 UTC,10
708,booked,2020-05-18 22:01:02 UTC,28
2275,booked,2020-05-24 22:25:40 UTC,32
2618,booked,2020-06-11 21:06:55 UTC,41
1582,booked,2020-05-29 19:10:11 UTC,54
4662,booked,2020-05-15 23:28:36 UTC,64
2030,booked,2020-06-01 22:50:29 UTC,76
1613,booked,2020-05-21 23:12:36 UTC,53
2564,booked,2020-06-01 21:43:04 UTC,84
3031,booked,2020-05-29 22:12:38 UTC,94
2078,booked,2020-05-12 22:11:45 UTC,5
295,booked,2020-05-19 18:32:08 UTC,19
3964,booked,2020-05-25 21:08:05 UTC,27
1652,booked,2020-05-23 21:58:16 UTC,33
1784,booked,2020-05-13 21:26:52 UTC,46
270,booked,2020-05-26 23:36:28 UTC,56
736,booked,2020-06-08 22:15:34 UTC,66
4962,booked,2020-05-17 23:22:43 UTC,75
4007,booked,2020-05-27 23:42:05 UTC,88
132,booked,2020-05-21 22:29:01 UTC,98
3643,booked,2020-05-31 21:47:56 UTC,2
2883,booked,2020-06-05 22:19:29 UTC,13
1901,booked,2020-05-31 20:51:41 UTC,24
3965,booked,2020-06-01 18:48:33 UTC,37
4211,booked,2020-06-03 19:12:55 UTC,40
4439,booked,2020-05-26 19:19:45 UTC,54
3111,booked,2020-06-11 20:53:29 UTC,62
813,booked,2020-05-19 19:56:33 UTC,73
3446,booked,2020-05-29 20:35:28 UTC,85
4072,booked,2020-05-30 23:56:32 UTC,90
3010,booked,2020-05-20 20:14:58 UTC,4
4406,booked,2020-06-07 19:00:34 UTC,16
4359,booked,2020-06-02 17:35:01 UTC,25
1116,booked,2020-05-31 17:36:27 UTC,35
444,booked,2020-05-15 20:35:24 UTC,46
1127,booked,2020-05-30 23:54:37 UTC,52
1463,booked,2020-06-07 17:58:47 UTC,60
3045,booked,2020-05-18 20:10:01 UTC,71
2777,booked,2020-05-18 21:31:00 UTC,82
1605,booked,2020-05-17 19:16:51 UTC,92
147,booked,2020-06-04 21:40:31 UTC,6
1232,booked,2020-05-22 21:03:36 UTC,14
2521,booked,2020-05-17 19:56:40 UTC,22
2537,booked,2020-05-25 19:40:17 UTC,36
4110,booked,2020-05-25 21:27:19 UTC,46
3936,booked,2020-05-25 18:54:54 UTC,51
625,booked,2020-05-29 22:17:25 UTC,69
3161,booked,2020-05-25 21:31:11 UTC,70
1587,booked,2020-06-02 21:43:34 UTC,89
3768,booked,2020-05-13 22:45:18 UTC,96
3490,booked,2020-05-18 19:35:35 UTC,0
3638,booked,2020-05-18 21:47:35 UTC,18
730,booked,2020-06-07 22:53:34 UTC,24
3667,booked,2020-05-28 20:47:11 UTC,37
2104,booked,2020-06-07 17:53:19 UTC,45
582,booked,2020-05-27 20:47:17 UTC,52
312,booked,2020-05-22 20:52:18 UTC,69
3820,booked,2020-05-24 23:05:34 UTC,73
3383,booked,2020-05-28 19:34:15 UTC,84
3795,booked,2020-05-24 23:07:47 UTC,96
4619,booked,2020-06-11 19:10:16 UTC,4
92,booked,2020-06-11 18:32:24 UTC,10
4329,booked,2020-05-29 21:20:27 UTC,27
2066,booked,2020-05-16 18:21:39 UTC,36
3753,booked,2020-05-17 21:34:06 UTC,47
1820,booked,2020-05-23 20:29:09 UTC,56
757,booked,2020-05-15 23:55:32 UTC,66
4995,booked,2020-05-22 21:10:26 UTC,74
2404,booked,2020-05-14 21:20:15 UTC,86
913,booked,2020-05-18 21:17:56 UTC,93
386,booked,2020-05-17 19:18:50 UTC,2
3035,booked,2020-06-10 19:58:53 UTC,11
4485,booked,2020-06-06 17:13:33 UTC,22
2235,booked,2020-05-16 23:44:11 UTC,39
3076,booked,2020-05-18 23:52:14 UTC,46
636,booked,2020-06-03 22:04:24 UTC,52
2921,booked,2020-05-21 19:34:20 UTC,60
1185,booked,2020-06-07 17:14:28 UTC,73
4121,booked,2020-05-29 21:55:26 UTC,88
3477,booked,2020-06-06 21:39:12 UTC,90
1607,booked,2020-05-12 20:17:14 UTC,3
496,booked,2020-06-08 18:39:59 UTC,19
1395,booked,2020-06-10 20:28:19 UTC,22
4370,booked,2020-06-07 17:26:24 UTC,30
4674,booked,2020-05-29 21:39:07 UTC,43
255,booked,2020-06-11 22:19:25 UTC,52
3542,booked,2020-05-26 18:39:20 UTC,69
2340,booked,2020-05-18 23:04:34 UTC,77
2073,booked,2020-05-21 21:04:15 UTC,85
2679,booked,2020-05-19 20:51:14 UTC,96
2554,booked,2020-05-23 19:43:52 UTC,8
439,booked,2020-05-28 22:15:07 UTC,10
4976,booked,2020-06-02 17:28:39 UTC,21
959,booked,2020-06-06 18:36:39 UTC,37
4451,booked,2020-05-26 20:52:17 UTC,42
1095,booked,2020-05-28 22:29:15 UTC,58
4927,booked,2020-05-16 21:40:51 UTC,60
953,booked,2020-05-23 23:26:06 UTC,73
2911,booked,2020-05-20 23:28:29 UTC,84
399,booked,2020-05-24 19:53:00 UTC,96
2951,booked,2020-05-20 22:51:28 UTC,8
1600,booked,2020-05-20 23:27:18 UTC,17
2974,booked,2020-05-20 23:23:42 UTC,24
4364,booked,2020-06-11 22:42:55 UTC,32
2257,booked,2020-06-06 20:38:40 UTC,49
2752,booked,2020-05-24 21:48:04 UTC,63
233,booked,2020-05-14 21:02:16 UTC,72
3096,booked,2020-06-06 17:12:03 UTC,89
4826,booked,2020-05-21 18:05:10 UTC,93
2470,booked,2020-05-13 18:21:23 UTC,6
4291,booked,2020-06-02 17:19:32 UTC,15
407,booked,2020-05-21 20:56:48 UTC,23
4055,booked,2020-05-13 20:06:13 UTC,34
2651,booked,2020-05-12 18:25:30 UTC,45
2645,booked,2020-06-03 18:33:20 UTC,50
4219,booked,2020-05-15 19:38:45 UTC,61
3498,booked,2020-05-30 21:13:53 UTC,78
536,booked,2020-06-10 20:13:54 UTC,85
4426,booked,2020-06-04 19:29:14 UTC,93
4459,booked,2020-05-31 17:26:46 UTC,4
4814,booked,2020-05-25 22:36:58 UTC,12
1910,booked,2020-06-05 21:42:23 UTC,22
1558,booked,2020-06-05 17:27:12 UTC,32
2867,booked,2020-05-24 21:20:19 UTC,45
122,booked,2020-05-23 22:40:43 UTC,58
4677,booked,2020-05-23 23:46:07 UTC,61
3139,booked,2020-05-19 18:33:54 UTC,70
4414,booked,2020-05-12 19:40:51 UTC,87
3962,booked,2020-05-17 19:16:51 UTC,99
4897,booked,2020-05-20 20:34:09 UTC,3
767,booked,2020-05-21 21:59:38 UTC,18
2681,booked,2020-06-09 22:32:30 UTC,21
1162,booked,2020-06-10 18:30:58 UTC,34
802,booked,2020-05-22 21:18:24 UTC,47
4044,booked,2020-05-31 18:02:59 UTC,50
1509,booked,2020-06-07 18:41:14 UTC,63
2894,booked,2020-05-12 22:42:17 UTC,78
3115,booked,2020-05-13 21:10:34 UTC,83
701,booked,2020-05-17 20:45:43 UTC,90
3320,booked,2020-05-18 23:49:34 UTC,3
3259,booked,2020-05-31 17:03:22 UTC,16
2941,booked,2020-05-29 18:42:42 UTC,21
3736,booked,2020-05-12 21:19:00 UTC,33
1312,booked,2020-06-01 17:53:01 UTC,40
2928,booked,2020-05-14 23:16:23 UTC,57
2455,booked,2020-05-30 18:11:00 UTC,65
1283,booked,2020-05-14 22:09:31 UTC,76
2397,booked,2020-06-03 19:35:17 UTC,82
3145,booked,2020-05-16 23:11:07 UTC,98
3586,booked,2020-05-14 21:28:38 UTC,3
4427,booked,2020-05-25 19:37:48 UTC,17
587,booked,2020-05-17 23:50:01 UTC,22
3698,booked,2020-06-01 20:00:32 UTC,30
1079,booked,2020-05-28 22:08:29 UTC,43
4209,booked,2020-05-22 19:30:33 UTC,52
2711,booked,2020-05-25 21:00:38 UTC,60
4694,booked,2020-06-08 22:30:57 UTC,73
1844,booked,2020-06-02 17:48:08 UTC,85
3897,booked,2020-06-05 17:02:12 UTC,99
3040,booked,2020-05-27 20:54:42 UTC,6
3655,booked,2020-05-25 19:39:34 UTC,12
3478,booked,2020-05-13 21:09:53 UTC,21
3396,booked,2020-05-31 21:37:53 UTC,38
3815,booked,2020-05-31 21:58:49 UTC,49
4644,booked,2020-05-17 23:58:28 UTC,52
2499,booked,2020-05-27 20:19:43 UTC,62
3092,booked,2020-05-14 18:22:55 UTC,78
3234,booked,2020-06-06 19:03:11 UTC,87
2754,booked,2020-05-30 18:55:22 UTC,96
689,booked,2020-05-12 18:32:15 UTC,3
3507,booked,2020-05-29 20:03:55 UTC,18
4702,booked,2020-06-09 18:10:27 UTC,25
1047,booked,2020-05-15 19:55:25 UTC,36
4598,booked,2020-05-13 18:55:36 UTC,48
3114,booked,2020-05-25 20:28:40 UTC,56
4255,booked,2020-05-25 23:26:08 UTC,69
4337,booked,2020-06-02 21:30:11 UTC,72
1010,booked,2020-06-10 20:32:15 UTC,82
4115,booked,2020-05-26 22:08:08 UTC,93
2357,booked,2020-05-26 18:18:41 UTC,6
4024,booked,2020-05-18 21:43:08 UTC,11
2990,booked,2020-06-05 20:57:11 UTC,23
1045,booked,2020-05-12 23:17:09 UTC,32
837,booked,2020-06-08 21:08:32 UTC,43
2355,booked,2020-06-10 19:12:02 UTC,56
1958,booked,2020-05-24 23:21:26 UTC,69
4245,booked,2020-06-03 19:41:31 UTC,73
566,booked,2020-05-23 23:39:31 UTC,88
3299,booked,2020-06-06 21:39:02 UTC,98
2539,booked,2020-05-16 23:03:29 UTC,8
2088,booked,2020-06-06 19:45:33 UTC,15
2421,booked,2020-05-26 23:41:39 UTC,28
4073,booked,2020-05-28 22:35:17 UTC,31
1961,booked,2020-06-10 17:19:40 UTC,40
4971,booked,2020-05-15 22:01:45 UTC,56
1741,booked,2020-05-25 22:26:51 UTC,62
4759,booked,2020-05-27 18:39:23 UTC,72
3726,booked,2020-06-11 21:03:52 UTC,81
4881,booked,2020-06-10 20:22:45 UTC,94
2683,booked,2020-06-11 17:58:13 UTC,9
1572,booked,2020-05-27 20:11:18 UTC,19
1895,booked,2020-05-23 20:30:05 UTC,27
2643,booked,2020-05-19 20:22:33 UTC,38
1190,booked,2020-06-09 20:53:06 UTC,49
3348,booked,2020-06-01 20:53:24 UTC,50
420,booked,2020-05-17 23:47:54 UTC,60
4735,booked,2020-06-04 19:51:41 UTC,74
2425,booked,2020-05-17 18:53:18 UTC,85
1027,booked,2020-06-01 19:06:30 UTC,93
3474,booked,2020-06-03 17:32:18 UTC,6
4149,booked,2020-05-16 22:26:59 UTC,17
983,booked,2020-06-03 17:07:43 UTC,23
3589,booked,2020-05-26 18:42:00 UTC,37
1161,booked,2020-05-29 23:01:59 UTC,49
1576,booked,2020-05-15 21:04:51 UTC,55
109,booked,2020-05-12 18:47:31 UTC,63
2383,booked,2020-05-24 19:01:37 UTC,72
3578,booked,2020-06-10 18:55:43 UTC,83
2833,booked,2020-05-25 19:15:19 UTC,92
591,booked,2020-06-02 22:56:03 UTC,2
1507,booked,2020-05-16 20:00:07 UTC,17
1918,booked,2020-06-08 17:06:52 UTC,21
1512,booked,2020-05-24 23:08:41 UTC,37
2064,booked,2020-06-11 21:36:55 UTC,40
2448,booked,2020-05-27 20:55:25 UTC,58
1962,booked,2020-06-09 22:44:30 UTC,62
2206,booked,2020-05-19 20:57:09 UTC,77
1024,booked,2020-06-09 19:15:43 UTC,83
4066,booked,2020-06-03 20:16:12 UTC,97
206,booked,2020-06-08 19:38:44 UTC,8
274,booked,2020-06-01 17:44:24 UTC,17
4914,booked,2020-05-20 22:26:33 UTC,25
4145,booked,2020-05-13 19:21:11 UTC,32
1031,booked,2020-05-19 20:04:07 UTC,46
